gdml_detector_name,cpp_detector_name
"PV-LV_Scatterer_v064__Meshed_","PV-LV_Scatterer064__Meshed_"
"PV-LV_Scatterer_v063__Meshed_","PV-LV_Scatterer063__Meshed_"
"PV-LV_Scatterer_v062__Meshed_","PV-LV_Scatterer062__Meshed_"
"PV-LV_Scatterer_v061__Meshed_","PV-LV_Scatterer061__Meshed_"
"PV-LV_Scatterer_v060__Meshed_","PV-LV_Scatterer060__Meshed_"
"PV-LV_Scatterer_v059__Meshed_","PV-LV_Scatterer059__Meshed_"
"PV-LV_Scatterer_v058__Meshed_","PV-LV_Scatterer058__Meshed_"
"PV-LV_Scatterer_v057__Meshed_","PV-LV_Scatterer057__Meshed_"
"PV-LV_Scatterer_v056__Meshed_","PV-LV_Scatterer056__Meshed_"
"PV-LV_Scatterer_v055__Meshed_","PV-LV_Scatterer055__Meshed_"
"PV-LV_Scatterer_v054__Meshed_","PV-LV_Scatterer054__Meshed_"
"PV-LV_Scatterer_v053__Meshed_","PV-LV_Scatterer053__Meshed_"
"PV-LV_Scatterer_v052__Meshed_","PV-LV_Scatterer052__Meshed_"
"PV-LV_Scatterer_v051__Meshed_","PV-LV_Scatterer051__Meshed_"
"PV-LV_Scatterer_v050__Meshed_","PV-LV_Scatterer050__Meshed_"
"PV-LV_Scatterer_v049__Meshed_","PV-LV_Scatterer049__Meshed_"
"PV-LV_Scatterer_v048__Meshed_","PV-LV_Scatterer048__Meshed_"
"PV-LV_Scatterer_v047__Meshed_","PV-LV_Scatterer047__Meshed_"
"PV-LV_Scatterer_v046__Meshed_","PV-LV_Scatterer046__Meshed_"
"PV-LV_Scatterer_v045__Meshed_","PV-LV_Scatterer045__Meshed_"
"PV-LV_Scatterer_v044__Meshed_","PV-LV_Scatterer044__Meshed_"
"PV-LV_Scatterer_v043__Meshed_","PV-LV_Scatterer043__Meshed_"
"PV-LV_Scatterer_v042__Meshed_","PV-LV_Scatterer042__Meshed_"
"PV-LV_Scatterer_v041__Meshed_","PV-LV_Scatterer041__Meshed_"
"PV-LV_Scatterer_v040__Meshed_","PV-LV_Scatterer040__Meshed_"
"PV-LV_Scatterer_v039__Meshed_","PV-LV_Scatterer039__Meshed_"
"PV-LV_Scatterer_v038__Meshed_","PV-LV_Scatterer038__Meshed_"
"PV-LV_Scatterer_v037__Meshed_","PV-LV_Scatterer037__Meshed_"
"PV-LV_Scatterer_v036__Meshed_","PV-LV_Scatterer036__Meshed_"
"PV-LV_Scatterer_v035__Meshed_","PV-LV_Scatterer035__Meshed_"
"PV-LV_Scatterer_v034__Meshed_","PV-LV_Scatterer034__Meshed_"
"PV-LV_Scatterer_v033__Meshed_","PV-LV_Scatterer033__Meshed_"
