event_id,time,angle,pol_x,pol_y,pol_z,energy
0,0.002087,0.013114,0.999914,0.000000,0.013114,30.000000
1,0.016289,0.102344,0.994767,0.000000,0.102166,30.000000
2,0.029388,0.184649,0.983001,0.000000,0.183602,30.000000
3,0.030525,0.191793,0.981664,0.000000,0.190619,30.000000
4,0.040662,0.255490,0.967540,0.000000,0.252720,30.000000
5,0.054316,0.341277,0.942328,0.000000,0.334691,30.000000
6,0.064141,0.403012,0.919884,0.000000,0.392191,30.000000
7,0.087346,0.548809,0.853146,0.000000,0.521672,30.000000
8,0.088629,0.556870,0.848913,0.000000,0.528532,30.000000
9,0.094672,0.594841,0.828238,0.000000,0.560377,30.000000
10,0.101181,0.635737,0.804634,0.000000,0.593771,30.000000
11,0.111181,0.698573,0.765761,0.000000,0.643125,30.000000
12,0.127479,0.800974,0.696008,0.000000,0.718034,30.000000
13,0.140427,0.882329,0.635354,0.000000,0.772221,30.000000
14,0.153191,0.962526,0.571449,0.000000,0.820637,30.000000
15,0.162206,1.019167,0.524075,0.000000,0.851672,30.000000
16,0.162464,1.020793,0.522690,0.000000,0.852523,30.000000
17,0.165318,1.038724,0.507321,0.000000,0.861757,30.000000
18,0.212813,1.337145,0.231531,0.000000,0.972827,30.000000
19,0.217936,1.369330,0.200106,0.000000,0.979774,30.000000
20,0.223243,1.402678,0.167327,0.000000,0.985901,30.000000
21,0.223784,1.406074,0.163978,0.000000,0.986464,30.000000
22,0.237651,1.493203,0.077515,0.000000,0.996991,30.000000
23,0.248912,1.563960,0.006837,0.000000,0.999977,30.000000
24,0.257113,1.615490,-0.044679,0.000000,0.999001,30.000000
25,0.281307,1.767502,-0.195439,0.000000,0.980716,30.000000
26,0.286289,1.798804,-0.226037,0.000000,0.974119,30.000000
27,0.286443,1.799776,-0.226984,0.000000,0.973898,30.000000
28,0.293827,1.846172,-0.271908,0.000000,0.962323,30.000000
29,0.315733,1.983809,-0.401371,0.000000,0.915916,30.000000
30,0.318481,2.001074,-0.417123,0.000000,0.908850,30.000000
31,0.325379,2.044414,-0.456109,0.000000,0.889924,30.000000
32,0.339481,2.133020,-0.533069,0.000000,0.846072,30.000000
33,0.341317,2.144557,-0.542794,0.000000,0.839866,30.000000
34,0.341944,2.148498,-0.546100,0.000000,0.837720,30.000000
35,0.354235,2.225726,-0.609103,0.000000,0.793091,30.000000
36,0.357441,2.245866,-0.624952,0.000000,0.780663,30.000000
37,0.357584,2.246769,-0.625656,0.000000,0.780099,30.000000
38,0.362551,2.277978,-0.649694,0.000000,0.760196,30.000000
39,0.366294,2.301496,-0.667391,0.000000,0.744708,30.000000
40,0.375920,2.361976,-0.711183,0.000000,0.703007,30.000000
41,0.379514,2.384555,-0.726874,0.000000,0.686771,30.000000
42,0.379994,2.387572,-0.728942,0.000000,0.684575,30.000000
43,0.384830,2.417961,-0.749406,0.000000,0.662110,30.000000
44,0.391135,2.457573,-0.775039,0.000000,0.631914,30.000000
45,0.391253,2.458314,-0.775507,0.000000,0.631339,30.000000
46,0.401987,2.525756,-0.816290,0.000000,0.577642,30.000000
47,0.439495,2.761429,-0.928604,0.000000,0.371072,30.000000
48,0.445607,2.799834,-0.942167,0.000000,0.335145,30.000000
49,0.450048,2.827733,-0.951149,0.000000,0.308732,30.000000
50,0.451597,2.837467,-0.954109,0.000000,0.299459,30.000000
51,0.471466,2.962311,-0.983972,0.000000,0.178323,30.000000
52,0.493883,3.103156,-0.999261,0.000000,0.038427,30.000000
53,0.505889,3.178597,-0.999315,0.000000,-0.036996,30.000000
54,0.557920,3.505516,-0.934508,0.000000,-0.355943,30.000000
55,0.579616,3.641834,-0.877467,0.000000,-0.479637,30.000000
56,0.579817,3.643095,-0.876862,0.000000,-0.480743,30.000000
57,0.582333,3.658905,-0.869152,0.000000,-0.494546,30.000000
58,0.593491,3.729015,-0.832372,0.000000,-0.554217,30.000000
59,0.603164,3.789794,-0.797171,0.000000,-0.603753,30.000000
60,0.629617,3.956002,-0.686298,0.000000,-0.727320,30.000000
61,0.633139,3.978132,-0.670036,0.000000,-0.742329,30.000000
62,0.635630,3.993783,-0.658336,0.000000,-0.752724,30.000000
63,0.639189,4.016140,-0.641344,0.000000,-0.767253,30.000000
64,0.650960,4.090100,-0.582896,0.000000,-0.812546,30.000000
65,0.651686,4.094664,-0.579182,0.000000,-0.815198,30.000000
66,0.659354,4.142845,-0.539248,0.000000,-0.842147,30.000000
67,0.667580,4.194528,-0.495023,0.000000,-0.868880,30.000000
68,0.681618,4.282732,-0.416559,0.000000,-0.909109,30.000000
69,0.702121,4.411553,-0.296318,0.000000,-0.955089,30.000000
70,0.703205,4.418370,-0.289801,0.000000,-0.957087,30.000000
71,0.710901,4.466722,-0.243203,0.000000,-0.969975,30.000000
72,0.735684,4.622436,-0.089832,0.000000,-0.995957,30.000000
73,0.746802,4.692295,-0.020092,0.000000,-0.999798,30.000000
74,0.747586,4.697223,-0.015165,0.000000,-0.999885,30.000000
75,0.754833,4.742757,0.030364,0.000000,-0.999539,30.000000
76,0.765514,4.809866,0.097323,0.000000,-0.995253,30.000000
77,0.797740,5.012347,0.295480,0.000000,-0.955349,30.000000
78,0.821106,5.159161,0.432057,0.000000,-0.901846,30.000000
79,0.827697,5.200574,0.469023,0.000000,-0.883186,30.000000
80,0.835581,5.250113,0.512183,0.000000,-0.858877,30.000000
81,0.856873,5.383894,0.622165,0.000000,-0.782886,30.000000
82,0.879550,5.526377,0.727031,0.000000,-0.686605,30.000000
83,0.908385,5.707552,0.838848,0.000000,-0.544366,30.000000
84,0.909955,5.717415,0.844176,0.000000,-0.536066,30.000000
85,0.937783,5.892266,0.924559,0.000000,-0.381039,30.000000
86,0.943199,5.926291,0.936986,0.000000,-0.349366,30.000000
87,0.943865,5.930478,0.938441,0.000000,-0.345440,30.000000
88,0.950485,5.972076,0.951995,0.000000,-0.306115,30.000000
89,0.961825,6.043325,0.971371,0.000000,-0.237567,30.000000
90,0.966820,6.074708,0.978347,0.000000,-0.206970,30.000000
91,0.968335,6.084227,0.980273,0.000000,-0.197648,30.000000
92,0.989399,6.216577,0.997783,0.000000,-0.066559,30.000000
93,1.004732,6.312915,0.999558,0.000000,0.029726,30.000000
94,1.016704,6.388141,0.994497,0.000000,0.104763,30.000000
95,1.030332,6.473769,0.981894,0.000000,0.189432,30.000000
96,1.039864,6.533658,0.968795,0.000000,0.247862,30.000000
97,1.066268,6.699560,0.914561,0.000000,0.404447,30.000000
98,1.081209,6.793438,0.872621,0.000000,0.488398,30.000000
99,1.083159,6.805690,0.866572,0.000000,0.499052,30.000000
100,1.085713,6.821735,0.858453,0.000000,0.512892,30.000000
101,1.089646,6.846450,0.845516,0.000000,0.533950,30.000000
102,1.096664,6.890543,0.821159,0.000000,0.570700,30.000000
103,1.102855,6.929440,0.798345,0.000000,0.602201,30.000000
104,1.104407,6.939195,0.792432,0.000000,0.609960,30.000000
105,1.108803,6.966812,0.775287,0.000000,0.631609,30.000000
106,1.117150,7.019264,0.741107,0.000000,0.671387,30.000000
107,1.123737,7.060645,0.712697,0.000000,0.701472,30.000000
108,1.127373,7.083496,0.696484,0.000000,0.717573,30.000000
109,1.129808,7.098791,0.685427,0.000000,0.728141,30.000000
110,1.145205,7.195536,0.611888,0.000000,0.790944,30.000000
111,1.160633,7.292475,0.532462,0.000000,0.846454,30.000000
112,1.180975,7.420286,0.420227,0.000000,0.907419,30.000000
113,1.194697,7.506502,0.340529,0.000000,0.940234,30.000000
114,1.204768,7.569780,0.280391,0.000000,0.959886,30.000000
115,1.205568,7.574809,0.275560,0.000000,0.961284,30.000000
116,1.212890,7.620812,0.231062,0.000000,0.972939,30.000000
117,1.216205,7.641644,0.210745,0.000000,0.977541,30.000000
118,1.224600,7.694388,0.158917,0.000000,0.987292,30.000000
119,1.226770,7.708022,0.145442,0.000000,0.989367,30.000000
120,1.228507,7.718939,0.134632,0.000000,0.990896,30.000000
121,1.233921,7.752953,0.100857,0.000000,0.994901,30.000000
122,1.255806,7.890460,-0.036470,0.000000,0.999335,30.000000
123,1.268366,7.969376,-0.115139,0.000000,0.993349,30.000000
124,1.268873,7.972567,-0.118308,0.000000,0.992977,30.000000
125,1.279028,8.036369,-0.181378,0.000000,0.983414,30.000000
126,1.283621,8.065230,-0.209680,0.000000,0.977770,30.000000
127,1.305989,8.205773,-0.344580,0.000000,0.938757,30.000000
128,1.306563,8.209379,-0.347963,0.000000,0.937508,30.000000
129,1.328891,8.349667,-0.475635,0.000000,0.879643,30.000000
130,1.332588,8.372897,-0.495939,0.000000,0.868357,30.000000
131,1.351631,8.492549,-0.596046,0.000000,0.802951,30.000000
132,1.365155,8.577522,-0.662043,0.000000,0.749466,30.000000
133,1.372907,8.626227,-0.697746,0.000000,0.716346,30.000000
134,1.396716,8.775823,-0.796716,0.000000,0.604354,30.000000
135,1.404061,8.821977,-0.823751,0.000000,0.566952,30.000000
136,1.408715,8.851217,-0.839974,0.000000,0.542626,30.000000
137,1.425038,8.953779,-0.891116,0.000000,0.453776,30.000000
138,1.431066,8.991654,-0.907659,0.000000,0.419709,30.000000
139,1.437295,9.030792,-0.923386,0.000000,0.383872,30.000000
140,1.437398,9.031439,-0.923635,0.000000,0.383274,30.000000
141,1.439151,9.042451,-0.927799,0.000000,0.373080,30.000000
142,1.442456,9.063216,-0.935345,0.000000,0.353736,30.000000
143,1.449706,9.108770,-0.950484,0.000000,0.310775,30.000000
144,1.451551,9.120364,-0.954023,0.000000,0.299734,30.000000
145,1.495143,9.394261,-0.999534,0.000000,0.030512,30.000000
146,1.505138,9.457059,-0.999479,0.000000,-0.032276,30.000000
147,1.511732,9.498491,-0.997284,0.000000,-0.073646,30.000000
148,1.511963,9.499942,-0.997176,0.000000,-0.075093,30.000000
149,1.515953,9.525016,-0.994980,0.000000,-0.100070,30.000000
150,1.520749,9.555146,-0.991514,0.000000,-0.129999,30.000000
151,1.521744,9.561398,-0.990682,0.000000,-0.136196,30.000000
152,1.542458,9.691547,-0.964628,0.000000,-0.263616,30.000000
153,1.547046,9.720379,-0.956627,0.000000,-0.291314,30.000000
154,1.547415,9.722692,-0.955951,0.000000,-0.293527,30.000000
155,1.571009,9.870943,-0.902108,0.000000,-0.431510,30.000000
156,1.584338,9.954687,-0.862853,0.000000,-0.505455,30.000000
157,1.589594,9.987714,-0.845692,0.000000,-0.533671,30.000000
158,1.596148,10.028894,-0.823005,0.000000,-0.568034,30.000000
159,1.617325,10.161951,-0.740372,0.000000,-0.672198,30.000000
160,1.628757,10.233781,-0.690220,0.000000,-0.723600,30.000000
161,1.654329,10.394453,-0.565568,0.000000,-0.824702,30.000000
162,1.672526,10.508791,-0.467785,0.000000,-0.883842,30.000000
163,1.702560,10.697498,-0.293681,0.000000,-0.955903,30.000000
164,1.704765,10.711355,-0.280408,0.000000,-0.959881,30.000000
165,1.704968,10.712629,-0.279185,0.000000,-0.960237,30.000000
166,1.705984,10.719013,-0.273049,0.000000,-0.962000,30.000000
167,1.708513,10.734905,-0.257727,0.000000,-0.966218,30.000000
168,1.713262,10.764743,-0.228786,0.000000,-0.973477,30.000000
169,1.714355,10.771611,-0.222096,0.000000,-0.975025,30.000000
170,1.714893,10.774992,-0.218798,0.000000,-0.975770,30.000000
171,1.716385,10.784367,-0.209641,0.000000,-0.977778,30.000000
172,1.747951,10.982697,-0.012877,0.000000,-0.999917,30.000000
173,1.749603,10.993079,-0.002495,0.000000,-0.999997,30.000000
174,1.750842,11.000868,0.005294,0.000000,-0.999986,30.000000
175,1.767306,11.104313,0.108525,0.000000,-0.994094,30.000000
